Name,State,Runtime,Created,dataset,model,representation,test/fscore,test/auroc,val/fscore,val/auroc,fit_time,inference_mean_time,inference_std_time,memory_complexity,val/mae,test/mae
mimic__agg_beat_features__CNNRegressor,finished,764,2023-01-09T20:33:42.000Z,mimic,CNN,agg_beat_features,,,,,742.943369626999,0.82607690513134,0.139292846620572,3778253,17.5058994293213,17.1658210754395
mimic__whole_signal_features__CNNRegressor,finished,1863,2023-01-09T19:53:00.000Z,mimic,CNN,whole_signal_features,,,,,1830.33705234528,1.91276874661446,0.270815954726,3778253,16.6493816375732,16.0047855377197
mimic__agg_beat_waveforms__CNNRegressor,finished,351,2023-01-09T19:33:50.000Z,mimic,CNN,agg_beat_waveforms,,,,,340.402690410614,0.811053651968638,0.150906433597165,3785421,17.1664028167725,16.9630641937256
mimic__whole_signal_waveforms__CNNRegressor,finished,3515,2023-01-09T18:20:44.000Z,mimic,CNN,whole_signal_waveforms,,,,,3398.01394128799,12.24292213281,8.2310394606039,3785421,16.5362224578857,16.1471786499023
mimic__agg_beat_features__MLPRegressor,finished,96,2023-01-09T18:13:05.000Z,mimic,MLP,agg_beat_features,,,,,86.8969302177429,0.277262612978617,0.06664105495055,1495163,17.6894397735596,17.4846878051758
mimic__agg_beat_waveforms__MLPRegressor,finished,118,2023-01-09T18:11:04.000Z,mimic,MLP,agg_beat_waveforms,,,,,108.465747117996,0.296609279712041,0.091432544569667,1575035,17.0732154846191,16.8991088867188
mimic__whole_signal_features__MLPRegressor,finished,111,2023-01-09T18:09:10.000Z,mimic,MLP,whole_signal_features,,,,,101.912600278854,0.274644800424576,0.095748616135221,2099323,16.7118282318115,15.9135999679565
mimic__whole_signal_waveforms__MLPRegressor,finished,112,2023-01-09T18:07:13.000Z,mimic,MLP,whole_signal_waveforms,,,,,102.58611536026,0.459586880405744,0.189933278814959,16730235,18.607307434082,18.6216259002686
mimic__agg_beat_features__LinearRegression,finished,7,2023-01-09T18:07:03.000Z,mimic,Regression,agg_beat_features,,,,,0.236364126205444,0.068987210591634,0.027294649828304,1410,17.1635360717773,16.8799362182617
mimic__agg_beat_waveforms__LinearRegression,finished,7,2023-01-09T18:06:53.000Z,mimic,Regression,agg_beat_waveforms,,,,,0.24965500831604,0.064592361450195,0.028789949468673,2034,17.3377265930176,17.1414127349854
mimic__whole_signal_features__LinearRegression,finished,7,2023-01-09T18:06:43.000Z,mimic,Regression,whole_signal_features,,,,,1.06855607032776,0.094226996103923,0.03575520677944,6134,16.417121887207,15.7146720886231
mimic__whole_signal_waveforms__LinearRegression,finished,563,2023-01-09T17:57:17.000Z,mimic,Regression,whole_signal_waveforms,,,,,552.971662998199,0.087107022603353,0.036831579697938,115111,46.5365257263184,45.5050811767578
mimic__agg_beat_features__DecisionTreeRegressor,finished,9,2023-01-09T17:57:05.000Z,mimic,Decision Tree,agg_beat_features,,,,,0.24470329284668,0.063830216725667,0.031600941523194,1749785,24.3158303545244,23.6298197808187
mimic__agg_beat_waveforms__DecisionTreeRegressor,finished,10,2023-01-09T17:56:53.000Z,mimic,Decision Tree,agg_beat_waveforms,,,,,0.402357339859009,0.074231624603272,0.041016570962442,1749657,23.7597559312117,23.0078009827707
mimic__whole_signal_features__DecisionTreeRegressor,finished,21,2023-01-09T17:56:29.000Z,mimic,Decision Tree,whole_signal_features,,,,,0.533669710159302,0.091119607289632,0.04556491753216,1749403,22.7279057087326,23.0354107145585
mimic__whole_signal_waveforms__DecisionTreeRegressor,finished,15,2023-01-09T17:56:11.000Z,mimic,Decision Tree,whole_signal_waveforms,,,,,4.31652498245239,0.073479811350505,0.028673622963103,1749787,24.2120807961795,24.3566031739883
mimic__agg_beat_features__LGBMRegressor,finished,8,2023-01-09T17:56:01.000Z,mimic,LGBM,agg_beat_features,,,,,0.590705156326294,0.128870010375977,0.06375800632177,290908,17.239910028993,16.7426716376399
mimic__agg_beat_waveforms__LGBMRegressor,finished,8,2023-01-09T17:55:51.000Z,mimic,LGBM,agg_beat_waveforms,,,,,1.07684254646301,0.129704475402832,0.073187985010863,299804,17.0945268870651,16.7545913938674
mimic__whole_signal_features__LGBMRegressor,finished,12,2023-01-09T17:55:36.000Z,mimic,LGBM,whole_signal_features,,,,,3.03484511375427,0.128150780995687,0.059528090264755,324951,16.103411759237,15.3511731170834
mimic__whole_signal_waveforms__LGBMRegressor,finished,103,2023-01-09T17:53:50.000Z,mimic,LGBM,whole_signal_waveforms,,,,,87.5985033512115,0.364866256713867,0.098628337319737,1125182,17.775121394612,17.5631684267446
sleep_edf__whole_signal_features__CNNClassifier,finished,4900,2023-01-09T15:11:58.000Z,sleep_edf,CNN,whole_signal_features,0.514026284217835,0.796129405498505,0.497404158115387,0.762000203132629,4714.45227408409,3.05086325009664,0.454636066254345,3783501,,
sleep_edf__whole_signal_waveforms__CNNClassifier,finished,9077,2023-01-09T12:40:38.000Z,sleep_edf,CNN,whole_signal_waveforms,0.784653961658478,0.940382242202759,0.793872773647308,0.927417159080505,8642.84849715233,6.76792830308278,0.503990468952278,3797837,,
sleep_edf__whole_signal_features__MLPClassifier,finished,2727,2023-01-09T11:55:08.000Z,sleep_edf,MLP,whole_signal_features,0.705680906772614,0.857733488082886,0.697362244129181,0.848459839820862,2710.41014671326,0.286670398960511,0.069692048832967,3522799,,
sleep_edf__whole_signal_waveforms__MLPClassifier,finished,3002,2023-01-09T11:05:03.000Z,sleep_edf,MLP,whole_signal_waveforms,0.475856572389603,0.70147967338562,0.473462641239166,0.705330312252045,2971.92115950584,0.331671253542105,0.076255933922608,11925743,,
sleep_edf__whole_signal_features__LogisticRegression,finished,48,2023-01-09T09:46:41.000Z,sleep_edf,Regression,whole_signal_features,0.548402488231659,0.793436169624329,0.552218616008758,0.834277749061585,18.4162614345551,0.043737888336182,0.023040415276436,19847,,
sleep_edf__whole_signal_waveforms__LogisticRegression,finished,190,2023-01-09T09:43:29.000Z,sleep_edf,Regression,whole_signal_waveforms,0.327470749616623,0.534253716468811,0.304303288459778,0.515224099159241,152.897154808044,0.06162961324056,0.025021871750839,216800,,
sleep_edf__whole_signal_features__DecisionTreeClassifier,finished,16,2023-01-09T09:43:11.000Z,sleep_edf,Decision Tree,whole_signal_features,0.660511791706085,0.774824917316437,0.668255686759949,0.783007681369782,5.7291464805603,0.046156247456869,0.017956377202668,3562175,,
sleep_edf__whole_signal_waveforms__DecisionTreeClassifier,finished,52,2023-01-09T09:42:17.000Z,sleep_edf,Decision Tree,whole_signal_waveforms,0.431109517812729,0.618196964263916,0.420470952987671,0.610490202903748,29.068666934967,0.046312808990479,0.020179595344629,6237471,,
sleep_edf__whole_signal_features__LGBMClassifier,finished,58,2023-01-09T09:35:49.000Z,sleep_edf,LGBM,whole_signal_features,0.789092361927033,0.956928849220276,0.796621203422546,0.957132279872894,32.1842517852783,0.374314785003662,0.091881520687178,2116706,,
sleep_edf__whole_signal_waveforms__LGBMClassifier,finished,494,2023-01-09T09:27:33.000Z,sleep_edf,LGBM,whole_signal_waveforms,0.638311445713043,0.879116714000702,0.617602407932282,0.859934806823731,458.003039836884,0.474045276641846,0.115787332477259,2360868,,
ptbxl__whole_signal_waveforms__DecisionTreeClassifier,finished,13,2023-01-09T09:16:58.000Z,ptbxl,Decision Tree,whole_signal_waveforms,0.431614726781845,0.559754073619843,0.436079740524292,0.564656555652618,2.1836473941803,0.049353440602621,0.022086788833883,527471,,
ptbxl__agg_beat_features__CNNClassifier,finished,2211,2023-01-09T08:37:33.000Z,ptbxl,CNN,agg_beat_features,0.698355615139008,0.837756156921387,0.712629795074463,0.835458517074585,2186.35005736351,2.3775075229009,0.317408320799061,3782477,,
ptbxl__agg_beat_waveforms__CNNClassifier,finished,325,2023-01-09T08:18:54.000Z,ptbxl,CNN,agg_beat_waveforms,0.742691993713379,0.832191348075867,0.731362283229828,0.836256623268127,313.985934257507,0.75431701262792,0.091665349797484,3861325,,
ptbxl__whole_signal_features__CNNClassifier,finished,1410,2023-01-09T07:48:12.000Z,ptbxl,CNN,whole_signal_features,0.591942250728607,0.759939074516296,0.607613205909729,0.781161069869995,1377.38913345337,3.83409280379613,0.305489945516134,3782477,,
ptbxl__whole_signal_waveforms__CNNClassifier,finished,333,2023-01-09T07:42:36.000Z,ptbxl,CNN,whole_signal_waveforms,0.730474233627319,0.83567225933075,0.740081012248993,0.852181315422058,318.126047134399,2.05581557949384,0.457195523002438,3861325,,
ptbxl__agg_beat_features__MLPClassifier,finished,198,2023-01-09T07:39:15.000Z,ptbxl,MLP,agg_beat_features,0.715408205986023,0.816856384277344,0.717412829399109,0.821379780769348,188.261046648026,0.275433279424906,0.070656246470972,3667183,,
ptbxl__agg_beat_waveforms__MLPClassifier,finished,151,2023-01-09T07:36:41.000Z,ptbxl,MLP,agg_beat_waveforms,0.701066136360168,0.784741282463074,0.711293041706085,0.797126412391663,143.737072944641,0.24693141301473,0.031343439787592,3937519,,
ptbxl__whole_signal_features__MLPClassifier,finished,246,2023-01-09T07:32:32.000Z,ptbxl,MLP,whole_signal_features,0.672992706298828,0.803368210792542,0.675316333770752,0.813567161560059,236.06831908226,0.207381653040647,0.042721201503477,6431983,,
ptbxl__whole_signal_waveforms__MLPClassifier,finished,136,2023-01-09T07:30:13.000Z,ptbxl,MLP,whole_signal_waveforms,0.435674607753754,0.52619880437851,0.436708301305771,0.520994544029236,126.034965991974,0.536080853839715,0.105302570721007,14996719,,
ptbxl__agg_beat_features__LogisticRegression,finished,11,2023-01-09T07:29:59.000Z,ptbxl,Regression,agg_beat_features,0.689805448055267,0.871399641036987,0.696174144744873,0.875811994075775,2.73779654502869,0.036892890930176,0.015060480493963,38215,,
ptbxl__agg_beat_waveforms__LogisticRegression,finished,12,2023-01-09T07:29:43.000Z,ptbxl,Regression,agg_beat_waveforms,0.663083791732788,0.846653342247009,0.671827673912048,0.862067222595215,3.32933449745178,0.040719509124756,0.012615743408805,48775,,
ptbxl__whole_signal_features__LogisticRegression,finished,17,2023-01-09T07:29:24.000Z,ptbxl,Regression,whole_signal_features,0.615122556686401,0.817392230033875,0.630134105682373,0.823999762535095,9.12764263153076,0.04404624303182,0.020273418577633,146224,,
ptbxl__whole_signal_waveforms__LogisticRegression,finished,36,2023-01-09T07:28:45.000Z,ptbxl,Regression,whole_signal_waveforms,0.406709283590317,0.521914720535278,0.384494006633759,0.511480450630188,27.8380012512207,0.055058797200521,0.01470695891304,480784,,
ptbxl__agg_beat_features__DecisionTreeClassifier,finished,10,2023-01-09T07:28:33.000Z,ptbxl,Decision Tree,agg_beat_features,0.600480973720551,0.692283987998962,0.60920649766922,0.705428957939148,0.630062818527222,0.037221113840739,0.007235613265467,436847,,
ptbxl__agg_beat_waveforms__DecisionTreeClassifier,finished,8,2023-01-09T07:28:22.000Z,ptbxl,Decision Tree,agg_beat_waveforms,0.590145826339722,0.6910640001297,0.604740619659424,0.702064752578735,0.854676246643066,0.038530031840007,0.007519899709006,432047,,
ptbxl__whole_signal_features__DecisionTreeClassifier,finished,11,2023-01-09T07:28:09.000Z,ptbxl,Decision Tree,whole_signal_features,0.591884732246399,0.686885714530945,0.601079285144806,0.698188066482544,1.26270866394043,0.054459571838379,0.019801774578445,399215,,
ptbxl__agg_beat_features__LGBMClassifier,finished,18,2023-01-09T07:27:36.000Z,ptbxl,LGBM,agg_beat_features,0.765101671218872,0.919745624065399,0.756364941596985,0.918538928031921,10.2377655506134,0.202242533365885,0.045440939708719,1799661,,
ptbxl__agg_beat_waveforms__LGBMClassifier,finished,19,2023-01-09T07:27:14.000Z,ptbxl,LGBM,agg_beat_waveforms,0.743597269058228,0.90451854467392,0.737414836883545,0.913557052612305,13.0809400081635,0.217554569244385,0.071112317040467,1841046,,
ptbxl__whole_signal_features__LGBMClassifier,finished,52,2023-01-09T07:26:19.000Z,ptbxl,LGBM,whole_signal_features,0.76594865322113,0.91987270116806,0.759423434734345,0.923541843891144,43.1470415592194,0.238953431447347,0.073281097699625,1960083,,
ptbxl__whole_signal_waveforms__LGBMClassifier,finished,187,2023-01-09T07:23:09.000Z,ptbxl,LGBM,whole_signal_waveforms,0.557731866836548,0.800169467926025,0.586925506591797,0.824938178062439,174.23309135437,0.277108351389567,0.046421254604894,2521249,,
